mes_venta,lineas,unidades,devueltas,tasa_devolucion_pct,dias_de_madurez
2024-05-01,173,218,37,16.97,758
2024-06-01,1822,2365,338,14.29,727
2024-07-01,1727,2204,327,14.84,697
2024-08-01,1689,2219,343,15.46,666
2024-09-01,1734,2209,321,14.53,635
2024-10-01,1936,2536,405,15.97,605
2024-11-01,2382,3044,421,13.83,574
2024-12-01,2650,3432,465,13.55,544
2025-01-01,1592,2019,297,14.71,513
2025-02-01,1319,1720,252,14.65,482
2025-03-01,1883,2367,341,14.41,454
2025-04-01,1928,2506,399,15.92,423
2025-05-01,2092,2662,383,14.39,393
2025-06-01,2192,2813,408,14.5,362
2025-07-01,2120,2724,440,16.15,332
2025-08-01,2028,2556,343,13.42,301
2025-09-01,2106,2688,405,15.07,270
2025-10-01,2195,2834,448,15.81,240
2025-11-01,2803,3603,550,15.27,209
2025-12-01,3187,4126,588,14.25,179
2026-01-01,1936,2464,376,15.26,148
2026-02-01,1647,2131,305,14.31,117
2026-03-01,2225,2891,417,14.42,89
2026-04-01,2351,3066,450,14.68,58
2026-05-01,2283,2994,455,15.2,28
