bloque,clave,clave2,envios,coste_medio,coste_desv,coste_min,coste_max,uds_medias
coste_vs_contenido,0,,5758,8.46,5.1,0,24.97,
coste_vs_contenido,1,,9559,8.46,5.05,0,24.97,1.28
coste_vs_contenido,2,,7781,8.57,5.19,0,24.97,2.57
coste_vs_contenido,3,,4317,8.53,5.11,0,24.99,3.88
coste_vs_contenido,4,,1772,8.53,5.11,0,24.89,5.15
coste_vs_contenido,5,,602,8.42,5.13,0,24.58,6.53
coste_vs_contenido,6,,164,8.48,5.29,0,24.19,7.66
coste_vs_contenido,7,,32,9.01,5.14,3.2,22.27,9.09
coste_vs_contenido,8,,13,6.83,4.28,0,13.77,9.92
coste_vs_contenido,9,,2,6.7,9.48,0,13.4,13.5
tarifa_por_metodo_y_pais,TODOS,TODOS,30000,8.5,5.11,0,24.99,
tarifa_por_metodo_y_pais,economy,DE,446,4,0.55,3,4.98,
tarifa_por_metodo_y_pais,economy,ES,834,3.99,0.59,2.99,4.99,
tarifa_por_metodo_y_pais,economy,FR,465,3.99,0.59,2.99,4.99,
tarifa_por_metodo_y_pais,economy,IT,287,4.03,0.58,3,4.98,
tarifa_por_metodo_y_pais,economy,MX,113,4.05,0.58,2.99,4.98,
tarifa_por_metodo_y_pais,economy,PT,149,4.03,0.59,3.03,4.98,
tarifa_por_metodo_y_pais,economy,TODOS,2949,4,0.58,2.99,4.99,
tarifa_por_metodo_y_pais,economy,UK,302,4.01,0.57,3.01,4.99,
tarifa_por_metodo_y_pais,economy,US,353,4,0.57,2.99,4.98,
tarifa_por_metodo_y_pais,express,DE,813,12.49,1.46,10,14.98,
tarifa_por_metodo_y_pais,express,ES,1673,12.5,1.45,9.99,14.98,
tarifa_por_metodo_y_pais,express,FR,961,12.51,1.42,9.99,14.98,
tarifa_por_metodo_y_pais,express,IT,633,12.39,1.47,10.01,14.99,
tarifa_por_metodo_y_pais,express,MX,238,12.49,1.43,10.03,14.98,
tarifa_por_metodo_y_pais,express,PT,304,12.56,1.34,10.04,14.92,
tarifa_por_metodo_y_pais,express,TODOS,6020,12.49,1.44,9.99,14.99,
tarifa_por_metodo_y_pais,express,UK,619,12.48,1.43,10.01,14.96,
tarifa_por_metodo_y_pais,express,US,779,12.52,1.42,9.99,14.99,
tarifa_por_metodo_y_pais,next_day,DE,450,19.96,2.99,15,24.99,
tarifa_por_metodo_y_pais,next_day,ES,820,19.76,2.88,15.01,24.97,
tarifa_por_metodo_y_pais,next_day,FR,486,19.99,2.81,15.01,24.93,
tarifa_por_metodo_y_pais,next_day,IT,316,20.06,2.76,15.03,24.96,
tarifa_por_metodo_y_pais,next_day,MX,141,20.14,2.82,15.3,24.94,
tarifa_por_metodo_y_pais,next_day,PT,156,20.3,2.92,15,24.93,
tarifa_por_metodo_y_pais,next_day,TODOS,3075,19.94,2.87,15,24.99,
tarifa_por_metodo_y_pais,next_day,UK,312,19.83,2.87,15.01,24.91,
tarifa_por_metodo_y_pais,next_day,US,394,19.99,2.87,15.01,24.97,
tarifa_por_metodo_y_pais,pickup,DE,237,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,ES,401,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,FR,248,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,IT,160,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,MX,74,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,PT,80,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,TODOS,1505,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,UK,125,0,0.0,0,0,
tarifa_por_metodo_y_pais,pickup,US,180,0,0.0,0,0,
tarifa_por_metodo_y_pais,standard,DE,2365,6.5,0.87,4.99,7.99,
tarifa_por_metodo_y_pais,standard,ES,4609,6.48,0.86,4.99,7.99,
tarifa_por_metodo_y_pais,standard,FR,2575,6.49,0.87,4.99,7.99,
tarifa_por_metodo_y_pais,standard,IT,1683,6.5,0.87,4.99,7.99,
tarifa_por_metodo_y_pais,standard,MX,676,6.54,0.86,4.99,7.99,
tarifa_por_metodo_y_pais,standard,PT,837,6.43,0.85,4.99,7.99,
tarifa_por_metodo_y_pais,standard,TODOS,16451,6.49,0.87,4.99,7.99,
tarifa_por_metodo_y_pais,standard,UK,1580,6.5,0.87,4.99,7.99,
tarifa_por_metodo_y_pais,standard,US,2126,6.49,0.89,4.99,7.99,
