eje,valor,canal,lineas
categoria,Accessories,marketplace,271
categoria,Accessories,online,3176
categoria,Accessories,retail,1031
categoria,Accessories,wholesale,773
categoria,Bags,marketplace,315
categoria,Bags,online,3673
categoria,Bags,retail,1278
categoria,Bags,wholesale,878
categoria,Bottoms,marketplace,344
categoria,Bottoms,online,3792
categoria,Bottoms,retail,1282
categoria,Bottoms,wholesale,930
categoria,Dresses,marketplace,439
categoria,Dresses,online,5343
categoria,Dresses,retail,1765
categoria,Dresses,wholesale,1319
categoria,Outerwear,marketplace,352
categoria,Outerwear,online,4313
categoria,Outerwear,retail,1423
categoria,Outerwear,wholesale,1009
categoria,Shoes,marketplace,282
categoria,Shoes,online,3224
categoria,Shoes,retail,1095
categoria,Shoes,wholesale,837
categoria,Swimwear,marketplace,280
categoria,Swimwear,online,3253
categoria,Swimwear,retail,1047
categoria,Swimwear,wholesale,826
categoria,Tops,marketplace,236
categoria,Tops,online,2857
categoria,Tops,retail,898
categoria,Tops,wholesale,709
metodo_envio,economy,marketplace,236
metodo_envio,economy,online,2819
metodo_envio,economy,retail,987
metodo_envio,economy,wholesale,667
metodo_envio,express,marketplace,505
metodo_envio,express,online,5905
metodo_envio,express,retail,2083
metodo_envio,express,wholesale,1463
metodo_envio,next_day,marketplace,255
metodo_envio,next_day,online,3090
metodo_envio,next_day,retail,994
metodo_envio,next_day,wholesale,765
metodo_envio,pickup,marketplace,138
metodo_envio,pickup,online,1513
metodo_envio,pickup,retail,489
metodo_envio,pickup,wholesale,385
metodo_envio,sin_envio,marketplace,23
metodo_envio,sin_envio,online,304
metodo_envio,sin_envio,retail,99
metodo_envio,sin_envio,wholesale,74
metodo_envio,standard,marketplace,1399
metodo_envio,standard,online,16435
metodo_envio,standard,retail,5333
metodo_envio,standard,wholesale,4039
