channel,sku,shipment_id,quantity_sold,quantity_returned,gross_sale,taxes,net_sales,created_at
wholesale,SKU-02366,SHP-0028842,1,0,250,0,250,1.737890286E9
wholesale,SKU-08396,SHP-0005028,2,0,560,0,560,1.737932125E9
wholesale,SKU-04249,SHP-0022303,1,0,30,0,30,1.725630764E9
wholesale,SKU-08397,SHP-0020334,3,0,660,0,660,1.72562597E9
online,SKU-06666,SHP-0014720,3,2,1350,283.5,1066.5,1.725619458E9
wholesale,SKU-08633,SHP-0007854,1,0,60,0,60,1.778817171E9
wholesale,SKU-05203,SHP-0005465,1,0,90,0,90,1.778826677E9
wholesale,SKU-07141,SHP-0022179,1,0,550,0,550,1.778861437E9
retail,SKU-05506,SHP-0002235,3,0,660,138.6,521.4,1.778812328E9
online,SKU-09176,SHP-0006009,3,1,750,157.5,592.5,1.778804069E9
online,SKU-01065,SHP-0012820,3,0,840,176.4,663.6,1.77886952E9
marketplace,SKU-09085,SHP-0010342,4,0,1800,378,1422,1.778821291E9
retail,SKU-07141,SHP-0014856,4,0,2200,462,1738,1.778851835E9
wholesale,SKU-05413,SHP-0010690,1,0,30,0,30,1.757118158E9
wholesale,SKU-07887,SHP-0020934,1,0,60,0,60,1.75712258E9
wholesale,SKU-06070,SHP-0018530,2,0,400,0,400,1.757117323E9
wholesale,SKU-07584,SHP-0020538,2,0,600,0,600,1.757133567E9
wholesale,SKU-04888,SHP-0022144,2,0,240,0,240,1.757183686E9
retail,SKU-03014,SHP-0028018,2,2,1100,231,869,1.75720152E9
wholesale,SKU-09173,SHP-0015497,3,3,360,0,360,1.757181858E9
online,SKU-04270,SHP-0010455,4,0,880,184.8,695.2,1.757131493E9
wholesale,SKU-07702,SHP-0003816,4,0,1120,0,1120,1.753859319E9
wholesale,SKU-04641,SHP-0029702,2,0,440,0,440,1.753862933E9
wholesale,SKU-02610,SHP-0002433,1,0,400,0,400,1.753880351E9
wholesale,SKU-06947,SHP-0014944,3,0,360,0,360,1.753890891E9
wholesale,SKU-07929,SHP-9440648,1,0,60,0,60,1.753892303E9
wholesale,SKU-08630,SHP-0009011,1,0,60,0,60,1.753900181E9
online,SKU-06927,SHP-0003341,3,0,660,138.6,521.4,1.753892752E9
online,SKU-08262,SHP-0007171,3,0,270,56.7,213.3,1.753916855E9
online,SKU-03006,SHP-0011861,4,0,480,100.8,379.2,1.753888092E9
wholesale,SKU-01813,SHP-0026298,1,0,550,0,550,1.74741515E9
wholesale,SKU-08101,SHP-0013224,2,0,560,0,560,1.74743128E9
wholesale,SKU-05638,SHP-0011463,1,0,60,0,60,1.726781561E9
online,SKU-02366,SHP-0021116,3,0,750,157.5,592.5,1.726719076E9
online,SKU-04284,SHP-0014308,3,0,1200,252,948,1.747267217E9
online,SKU-06927,SHP-0027797,4,0,880,184.8,695.2,1.747342786E9
wholesale,SKU-05898,SHP-0010420,2,0,360,0,360,1.750633134E9
wholesale,SKU-06838,SHP-0019223,2,0,240,0,240,1.750633613E9
